Job,Link,Company,Location,Classification,Subclassification,Type,Date_Posted,Description
CRM Systems Analyst,,at Robert Walters,Wellington,Information & Communication Technology,Business/Systems Analysts,,,
Senior Reporting Analyst,,at EROAD Limited,"Albany, Auckland",Information & Communication Technology,Business/Systems Analysts,,,
Data Analyst,,at Potentia Wellington,Wellington,Information & Communication Technology,Database Development & Administration,,,
Statistical and Data Analyst,,at people&co.,"Wellington Central, Wellington",Science & Technology,"Mathematics, Statistics & Information Sciences",,,
Data Analyst,,at Seequent,"Christchurch Central, Canterbury",Information & Communication Technology,Business/Systems Analysts,,,
Data Analyst,,at Spark New Zealand Trading Limited,"Christchurch Central, Canterbury",Accounting,Analysis & Reporting,,,
Kaitātari Raraunga - Analyst Data and Insights,,at Ministry of Social Development,"Wellington Central, Wellington",Consulting & Strategy,Analysts,,,
"Data Solutions Analyst Programmer, PCCS, Starship Children's Health",,at Te Whatu Ora Health NZ – Te Toka Tumai Auckland,"Auckland CBD, Auckland",Information & Communication Technology,Developers/Programmers,,,
Location Data Analyst,,at Land Information New Zealand,"Wellington Central, Wellington",Science & Technology,Other,,,
Research / Data Analyst,,at Technology Investment Network,"Devonport, Auckland",Marketing & Communications,Market Research & Analysis,,,
Insights Analyst,,at people&co.,"Wellington Central, Wellington",Consulting & Strategy,Analysts,,,
ICT Business Analyst,,at Fisher & Paykel Healthcare,"Manukau & East Auckland, Auckland",Information & Communication Technology,Business/Systems Analysts,,,
Data Scientist (Intermediate level),,at Tertiary Education Commission,"Wellington Central, Wellington",Science & Technology,"Mathematics, Statistics & Information Sciences",,,
Database Analyst,,at Whangarei District Council,"Whangarei Central, Northland",Information & Communication Technology,Database Development & Administration,,,
Data Analyst,,at Customise Talent Group,"Ellerslie, Auckland",Information & Communication Technology,Database Development & Administration,,,
Business Analyst | Data,,at SKY TV,"Auckland CBD, Auckland",Information & Communication Technology,Business/Systems Analysts,,,
IT Data Analyst,,at Amplifon NZ,"Auckland CBD, Auckland",Information & Communication Technology,Business/Systems Analysts,,,
Business Insights Analyst,,at Delmaine Fine Foods,"Mount Wellington, Auckland",Consulting & Strategy,Analysts,,,
Infrastructure Data Analyst,,at One Eighty Recruitment,"Wellington Central, Wellington",Government & Defence,Government,,,
Performance Analyst,,at Waka Kotahi - NZ Transport Agency,"Auckland CBD, Auckland",Government & Defence,"Policy, Planning & Regulation",,,
Performance Analyst,,at Waka Kotahi - NZ Transport Agency,"Auckland CBD, Auckland",Government & Defence,"Policy, Planning & Regulation",,,
Pricing & Customer Insights Analyst,,at Public Trust,"Auckland CBD, Auckland",Marketing & Communications,Market Research & Analysis,,,
Operations Performance Analyst,,at Global Security Solutions Limited,"Auckland CBD, Auckland",Call Centre & Customer Service,Management & Support,,,
Investment Operations Analyst,,at Apex Fund Services Australia Pty Ltd,"Wellington Central, Wellington",Banking & Financial Services,Funds Management,,,
"Data Analyst, Insights | Employment Services",,"at Ministry of Business, Innovation and Employment","Wellington Central, Wellington",Government & Defence,Government,,,
Statistical & Data Technician (Multiple) - Wellington & Christchurch,,at Stats NZ,"Wellington Central, Wellington",Information & Communication Technology,Other,,,
Intelligence Analyst - 12 month fixed term or Secondment,,at Maritime New Zealand,"Wellington Central, Wellington",Government & Defence,"Policy, Planning & Regulation",,,
Data Analyst (Auckland & Hamilton),,at TOMRA Fresh Food,"Rukuhia, Waikato",Information & Communication Technology,Business/Systems Analysts,,,
Data Analyst (Auckland & Hamilton),,at TOMRA Fresh Food,"Onehunga, Auckland",Information & Communication Technology,Business/Systems Analysts,,,
Data Scientist,,"at Ministry of Business, Innovation and Employment","Christchurch Central, Canterbury",Government & Defence,Government,,,
Business Intelligence Developer/Analyst,,"at Ministry of Business, Innovation and Employment","Wellington Central, Wellington",Government & Defence,Government,,,
Business Analyst,,at Ministry of Social Development,"Auckland CBD, Auckland",Information & Communication Technology,Business/Systems Analysts,,,
Operations Performance Analyst,,at Global Security Solutions Limited,"Auckland CBD, Auckland",Call Centre & Customer Service,Management & Support,,,
Kaitātari Raraunga Mātāmua - Senior Analyst Data and Insights,,at Ministry of Social Development,"Wellington Central, Wellington",Consulting & Strategy,Analysts,,,
Statistical & Data Technician (Multiple) in Wellington & Christchurch,,at Stats NZ,"Christchurch Central, Canterbury",Information & Communication Technology,Other,,,
Configuration Analyst,,at Babcock Pty Ltd,"Devonport, Auckland",Consulting & Strategy,Analysts,,,
Data Insights Analyst,,at Procare,"Parnell, Auckland",Information & Communication Technology,Database Development & Administration,,,
Environmental Data Analyst,,at Tasman District Council,"Richmond, Tasman",Information & Communication Technology,Business/Systems Analysts,,,
People Reporting and Insights Specialist.,,at Chorus,Auckland,Human Resources & Recruitment,Other,,,
Data & Systems Analyst,,at Halter,"Auckland CBD, Auckland",Science & Technology,"Mathematics, Statistics & Information Sciences",,,
Senior Reporting Analyst,,at EROAD Limited,"Albany, Auckland",Information & Communication Technology,Business/Systems Analysts,,,
Data Analyst,,at Fullers Group Ltd,"Auckland CBD, Auckland",Information & Communication Technology,Database Development & Administration,,,
Consultant - Data and Innovation,,at MartinJenkins,"Wellington Central, Wellington",Consulting & Strategy,Analysts,,,
"Data Engineer (Remote from NZ, or Gold Coast Australia)",,at TechConnect IT Solutions Pty Ltd,"Wellington Central, Wellington",Information & Communication Technology,Developers/Programmers,,,
Information Management Advisor,,at New Zealand Customs Service,"Wellington Central, Wellington",Information & Communication Technology,Other,,,
Business Analyst - Business Improvement & Innovation,,at New Zealand Customs Service,"Wellington Central, Wellington",Consulting & Strategy,Analysts,,,
Research and Insights Analyst,,at Sport NZ Group,"Wellington Central, Wellington","Manufacturing, Transport & Logistics",Analysis & Reporting,,,
Analyst / junior consultant,,at Robinson Bowmaker Paul,"Wellington Central, Wellington",Consulting & Strategy,Analysts,,,
Data Scientist,,"at Ministry of Business, Innovation and Employment","Auckland CBD, Auckland",Government & Defence,Government,,,
Business Analyst,,at Kainga Ora,"Newmarket, Auckland",Information & Communication Technology,Business/Systems Analysts,,,
HR Data Analyst,,at vtnz,"Wellington Central, Wellington",Human Resources & Recruitment,Consulting & Generalist HR,,,
Analytics Specialist-GIS,,at Two Degrees Mobile Limited,"Auckland CBD, Auckland",Information & Communication Technology,Database Development & Administration,,,
Sales Analyst,,at Laminex NZ,"Penrose, Auckland",Accounting,Analysis & Reporting,,,
Senior People Insights & Reporting Analyst,,at Ministry for Primary Industries,"Wellington Central, Wellington",Consulting & Strategy,Analysts,,,
Business Analyst,,at Ministry of Justice,"Wellington Central, Wellington",Information & Communication Technology,Business/Systems Analysts,,,
Data Scientist,,at New Zealand Police,"Wellington Central, Wellington",Government & Defence,Police & Corrections,,,
Sales Analyst,,at Laminex NZ,"Penrose, Auckland",Sales,Analysis & Reporting,,,
"Analyst, Analytical Projects Team",,at Ministry of Health,"Wellington Central, Wellington",Government & Defence,"Policy, Planning & Regulation",,,
Senior Business Intelligence Analyst,,at Tertiary Education Commission,"Wellington Central, Wellington",Information & Communication Technology,Business/Systems Analysts,,,
Business Analyst,,at Land Information New Zealand,"Hamilton Central, Waikato",Information & Communication Technology,Business/Systems Analysts,,,
Senior Data Analyst,,at Hays | Technology,"Auckland CBD, Auckland",Information & Communication Technology,Database Development & Administration,,,
Junior Commercial Analyst,,at Mercury,"Tauranga Central, Bay of Plenty",Banking & Financial Services,Analysis & Reporting,,,
